clinvar_significance	count
NA	644181
benign	31236
likely_benign	753
benign&likely_benign	720
uncertain_significance	229
likely_benign&benign	138
benign/likely_benign&benign	95
uncertain_significance&benign	81
benign&benign/likely_benign	79
uncertain_significance&benign&likely_benign	74
benign/likely_benign&likely_benign&benign	40
benign/likely_benign&benign&likely_benign	33
likely_benign&benign&benign/likely_benign	33
drug_response	31
likely_benign&benign/likely_benign&benign	31
not_provided	31
benign&uncertain_significance	29
benign&likely_benign&benign/likely_benign	28
benign&not_provided	26
likely_benign&benign/likely_benign	26
not_provided&benign	25
benign/likely_benign&likely_benign	24
association	23
benign&benign/likely_benign&likely_benign	21
benign/likely_benign	20
risk_factor&benign	19
uncertain_significance&likely_benign	19
benign&risk_factor	17
risk_factor	17
likely_benign&uncertain_significance	14
benign&drug_response	12
conflicting_classifications_of_pathogenicity&benign	11
other	11
benign&conflicting_classifications_of_pathogenicity	10
benign&likely_pathogenic	9
benign&other	9
benign&pathogenic	9
benign&association	7
conflicting_classifications_of_pathogenicity	6
not_provided&benign&likely_benign	6
association&benign	5
conflicting_classifications_of_pathogenicity&likely_benign	5
drug_response&benign	5
other&benign	5
protective	5
likely_benign&conflicting_classifications_of_pathogenicity	4
likely_benign&uncertain_significance&benign	4
likely_pathogenic&benign	4
pathogenic	4
pathogenic&benign	4
uncertain_significance&conflicting_classifications_of_pathogenicity	4
benign&likely_benign&conflicting_classifications_of_pathogenicity	3
benign&likely_benign&uncertain_significance	3
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign	3
conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_benign&conflicting_classifications_of_pathogenicity&uncertain_significance	3
likely_risk_allele&benign	3
uncertain_significance&benign/likely_benign&likely_benign&benign	3
uncertain_significance&not_provided&benign&likely_benign	3
affects	2
affects&benign	2
benign&protective	2
benign/likely_benign&uncertain_significance&benign	2
confers_sensitivity	2
conflicting_classifications_of_pathogenicity&likely_benign&benign	2
conflicting_classifications_of_pathogenicity&likely_benign&uncertain_significance	2
conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	2
likely_benign&benign&conflicting_classifications_of_pathogenicity	2
likely_benign&drug_response	2
likely_benign&uncertain_significance&benign/likely_benign	2
likely_risk_allele	2
pathogenic/likely_pathogenic&pathogenic	2
protective&benign	2
uncertain_significance&benign&benign/likely_benign	2
uncertain_significance&conflicting_classifications_of_pathogenicity&likely_benign	2
association&affects	1
association&affects&benign&other	1
association&benign&pathogenic	1
association&drug_response&risk_factor	1
association&pathogenic&protective	1
benign&affects	1
benign&association&benign/likely_benign	1
benign&benign/likely_benign&uncertain_significance&likely_benign	1
benign&confers_sensitivity	1
benign&confers_sensitivity&association	1
benign&conflicting_classifications_of_pathogenicity&likely_benign	1
benign&conflicting_classifications_of_pathogenicity&risk_factor	1
benign&conflicting_classifications_of_pathogenicity&uncertain_significance&likely_benign	1
benign&drug_response&likely_benign&pathogenic	1
benign&likely_benign&affects	1
benign&likely_benign&risk_factor	1
benign&likely_benign&uncertain_significance&benign/likely_benign	1
benign&likely_pathogenic&likely_risk_allele	1
benign&likely_risk_allele	1
benign&not_provided&likely_benign	1
benign&pathogenic&likely_benign&benign/likely_benign	1
benign&pathogenic&risk_factor	1
benign&protective&risk_factor	1
benign&protective&uncertain_risk_allele	1
benign&risk_factor&likely_benign&uncertain_significance	1
benign&uncertain_significance&risk_factor	1
benign/likely_benign&benign&association&likely_benign	1
benign/likely_benign&benign&likely_pathogenic	1
benign/likely_benign&benign&uncertain_significance&likely_benign	1
benign/likely_benign&drug_response&benign&conflicting_classifications_of_pathogenicity	1
benign/likely_benign&likely_benign&benign&uncertain_significance	1
benign/likely_benign&likely_benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&benign&benign/likely_benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&likely_benign	1
conflicting_classifications_of_pathogenicity&benign&likely_benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&benign&uncertain_significance	1
conflicting_classifications_of_pathogenicity&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&benign/likely_benign&likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign	1
conflicting_classifications_of_pathogenicity&likely_benign&benign/likely_benign&benign	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&likely_benign	1
conflicting_classifications_of_pathogenicity&likely_pathogenic&uncertain_significance	1
conflicting_classifications_of_pathogenicity&risk_factor&benign	1
drug_response&association&benign	1
drug_response&benign&pathogenic	1
drug_response&benign&uncertain_risk_allele	1
drug_response&conflicting_classifications_of_pathogenicity&benign	1
drug_response&likely_benign	1
drug_response&risk_factor	1
likely_benign&benign&benign/likely_benign&uncertain_significance	1
likely_benign&benign&pathogenic	1
likely_benign&benign&uncertain_significance	1
likely_benign&benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_benign&not_provided&benign	1
likely_benign&pathogenic&benign	1
likely_benign&protective&benign&benign/likely_benign	1
likely_benign&uncertain_significance&benign/likely_benign&benign	1
likely_benign&uncertain_significance&conflicting_classifications_of_pathogenicity	1
likely_pathogenic&benign&likely_benign&benign/likely_benign	1
likely_pathogenic&drug_response&benign&uncertain_significance	1
not_provided&association_not_found	1
not_provided&benign&likely_benign&benign/likely_benign	1
not_provided&risk_factor	1
other&confers_sensitivity	1
pathogenic&benign&affects	1
pathogenic&benign&benign/likely_benign&likely_benign	1
pathogenic&benign/likely_benign	1
pathogenic&drug_response&benign&likely_benign	1
pathogenic&likely_pathogenic&benign	1
pathogenic&pathogenic&_low_penetrance&pathogenic/likely_pathogenic&risk_factor&not_provided	1
pathogenic&risk_factor&benign	1
pathogenic&risk_factor&benign&benign/likely_benign	1
risk_factor&affects&benign	1
risk_factor&benign&benign/likely_benign	1
risk_factor&benign&drug_response&uncertain_significance	1
risk_factor&benign&likely_benign	1
risk_factor&benign&uncertain_significance	1
risk_factor&likely_benign	1
uncertain_risk_allele	1
uncertain_significance&benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&benign&conflicting_classifications_of_pathogenicity&likely_benign	1
uncertain_significance&benign&likely_benign&likely_pathogenic	1
uncertain_significance&benign&pathogenic	1
uncertain_significance&benign/likely_benign&benign&likely_benign	1
uncertain_significance&benign/likely_benign&likely_benign&benign&conflicting_classifications_of_pathogenicity	1
uncertain_significance&likely_benign&benign	1
uncertain_significance&likely_benign&benign&benign/likely_benign	1
uncertain_significance&likely_benign&likely_pathogenic	1
uncertain_significance&not_provided&benign	1
uncertain_significance&risk_factor&benign	1
uncertain_significance&risk_factor&drug_response&affects	1
